,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,08:30 3R262,,Willemstad (CUR),Divi Divi Air DHT,Unknown,2021-05-09
1,1,10:35 3R268,,Willemstad (CUR),Divi Divi Air DHC6 (PJ-DVD),Unknown,2021-05-09
2,2,10:50 AV242,,Bogota (BOG),Avianca A319 (N730AV),Landed 10:34,2021-05-09
3,3,11:20,UA1040,New York (EWR),United Airlines B739 (N28478),Landed 11:06,2021-05-09
4,4,11:49 B6373,,Boston (BOS),JetBlue Airways A320 (N527JL),Landed 11:26,2021-05-09
5,5,11:55,B61057,New York (JFK),JetBlue Airways A321 (N970JB),Unknown,2021-05-09
6,6,12:30 DL613,,New York (JFK),Delta Air Lines B739 (N887DN),Landed 12:00,2021-05-09
7,7,12:50 WN1804,,Baltimore (BWI),Southwest Airlines B737 (N480WN),Landed 12:48,2021-05-09
8,8,13:24 B61411,,Fort Lauderdale (FLL),JetBlue Airways A320 (N662JB),Landed 13:23,2021-05-09
9,9,13:38 AA870,,Philadelphia (PHL),American Airlines A320 (N109UW),Landed 13:25,2021-05-09
10,10,13:47 AA874,,Charlotte (CLT),American Airlines A321 (N539UW),Landed 13:52,2021-05-09
11,11,13:48,AA1028,Miami (MIA),American Airlines B738 (N874NN),Landed 14:11,2021-05-09
12,12,14:02,B6757,New York (JFK),JetBlue Airways A321 (N997JL),Landed 13:44,2021-05-09
13,13,14:10 DL582,,Atlanta (ATL),Delta Air Lines A321 (N314DN),Landed 13:56,2021-05-09
14,14,14:10 B6345,,New York (EWR),JetBlue Airways A320 (N766JB),Unknown,2021-05-09
15,15,14:15 3R278,,Willemstad (CUR),Divi Divi Air DHC6 (PJ-DVD),Unknown,2021-05-09
16,16,14:50,UA1042,New York (EWR),United Airlines B738 (N12216),Landed 14:39,2021-05-09
17,17,15:10 UA1203,,Washington (IAD),United Airlines B739 (N67812),Landed 15:05,2021-05-09
18,18,15:20,AA806,Miami (MIA),American Airlines A321 (N147AA),Landed 15:16,2021-05-09
19,19,15:29 B6773,,Boston (BOS),JetBlue Airways A321 (N972JT),Landed 15:07,2021-05-09
20,20,16:40 AG510,,Willemstad (CUR),Aruba Airlines CRJ,Unknown,2021-05-09
21,21,17:30,KL773,Bonaire (BON),KLM B77W (PH-BVW),Landed 17:23,2021-05-09
22,22,17:30 3R280,,Willemstad (CUR),Divi Divi Air DHC6 (PJ-DVF),Landed 17:16,2021-05-09
