,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,10:30 TX304,,Fort-de-France (FDF),Air Caraibes AT7,Unknown,2021-05-09
1,1,13:00 PV421,,St. Jean (SBH),St Barth Commuter CNC,Unknown,2021-05-09
2,2,13:00 TX306,,Fort-de-France (FDF),Air Caraibes AT76 (F-OSIT),Landed 12:43,2021-05-09
3,3,13:15 TX303,,Sint Maarten (SFG),Air Caraibes AT7,Unknown,2021-05-09
4,4,14:00 PV431,,St. Jean (SBH),St Barth Commuter CNC,Unknown,2021-05-09
5,5,14:30 PV433,,St. Jean (SBH),St Barth Commuter CNC,Unknown,2021-05-09
6,6,15:00 TX930,,St. Jean (SBH),Air Caraibes CNA,Unknown,2021-05-09
7,7,15:40 TX307,,Sint Maarten (SFG),Air Caraibes AT76 (F-OSIT),Landed 15:36,2021-05-09
8,8,15:45 TX310,,Fort-de-France (FDF),Air Caraibes AT7,Unknown,2021-05-09
9,9,15:45,3S725,St. Jean (SBH),Air Antilles DHT,Unknown,2021-05-09
10,10,16:00 PV451,,St. Jean (SBH),St Barth Commuter CNC,Unknown,2021-05-09
11,11,17:20,3S219,Sint Maarten (SFG),Air Antilles AT76 (F-OMYN),Landed 17:11,2021-05-09
12,12,18:35 TX311,,Sint Maarten (SFG),Air Caraibes AT7,Unknown,2021-05-09
13,13,18:40,3S727,St. Jean (SBH),Air Antilles Express DHC6 (F-OMYR),Landed 18:39,2021-05-09
14,14,18:45 TX416,,Fort-de-France (FDF),Air Caraibes AT76 (F-OSIT),Landed 18:35,2021-05-09
15,15,19:45,3S124,Fort-de-France (FDF),Air Antilles AT76 (F-OMYN),Landed 19:30,2021-05-09
0,0,08:45 TX300,,Fort-de-France (FDF),Air Caraibes AT76 (F-OSIV),Landed 08:40,2021-05-10
1,1,09:15,3S210,Fort-de-France (FDF),Air Antilles AT46 (F-OIXO),Landed 09:14,2021-05-10
2,2,09:30,3S721,St. Jean (SBH),Air Antilles Express DHC6 (F-OMYR),Landed 10:47,2021-05-10
3,3,10:10 TX301,,Sint Maarten (SFG),Air Caraibes AT7,Unknown,2021-05-10
4,4,11:30 TX406,,Fort-de-France (FDF),Air Caraibes AT7,Unknown,2021-05-10
5,5,12:28 A85106,,San Juan (SJU),Ameriflight BE99 (N226BH),Unknown,2021-05-10
6,6,13:00 PV421,,St. Jean (SBH),St Barth Commuter CNC,Unknown,2021-05-10
7,7,13:00 TX306,,Fort-de-France (FDF),Air Caraibes AT7,Unknown,2021-05-10
8,8,13:34 WIG8112,,San Juan (SJU),FedEx C208 (N866FE),Landed 13:34,2021-05-10
