,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,07:15 BW1501,,Scarborough (TAB),Caribbean Airlines AT76 (9Y-TTB),Canceled,2021-05-09
1,1,08:35 BW1503,,Scarborough (TAB),Caribbean Airlines AT76 (9Y-TTB),Landed 07:57,2021-05-09
2,2,09:00 PY729,,Paramaribo (PBM),Surinam Airways 737,Unknown,2021-05-09
3,3,09:25 BW1505,,Scarborough (TAB),Caribbean Airlines AT76 (9Y-TTB),Canceled,2021-05-09
4,4,10:10 BW1507,,Scarborough (TAB),Caribbean Airlines AT76 (9Y-TTA),Canceled,2021-05-09
5,5,10:40 BW460,,Georgetown (GEO),Caribbean Airlines B738 (9Y-JMC),Landed 10:13,2021-05-09
6,6,11:35 BW1513,,Scarborough (TAB),Caribbean Airlines AT76 (9Y-TTB),Canceled,2021-05-09
7,7,12:20 BW1517,,Scarborough (TAB),Caribbean Airlines AT76 (9Y-TTA),Canceled,2021-05-09
8,8,12:53 D5320,,Caracas (CCS),DHL Aero Expreso 75F,Unknown,2021-05-09
9,9,13:00 BW7224,,Georgetown (OGL),Caribbean Airlines AT76 (9Y-TTA),Landed 12:46,2021-05-09
10,10,13:55 BW1521,,Scarborough (TAB),Caribbean Airlines AT76 (9Y-TTB),Canceled,2021-05-09
11,11,14:00 PY730,,Willemstad (CUR),Surinam Airways 737,Unknown,2021-05-09
12,12,14:40 BW1523,,Scarborough (TAB),Caribbean Airlines AT76 (9Y-TTA),Canceled,2021-05-09
13,13,15:25 BW1525,,Scarborough (TAB),Caribbean Airlines AT76 (9Y-TTC),Canceled,2021-05-09
14,14,15:35 BW1527,,Scarborough (TAB),Caribbean Airlines AT76 (9Y-TTB),Landed 15:08,2021-05-09
15,15,16:45 BW1625,,Scarborough (TAB),Caribbean Airlines B738 (9Y-ANU),Canceled,2021-05-09
16,16,17:25 BW1529,,Scarborough (TAB),Caribbean Airlines AT76 (9Y-TTB),Canceled,2021-05-09
17,17,18:10 BW1531,,Scarborough (TAB),Caribbean Airlines AT76 (9Y-TTC),Canceled,2021-05-09
18,18,19:35 BW1633,,Scarborough (TAB),Caribbean Airlines B738 (9Y-ANU),Canceled,2021-05-09
19,19,19:35 BW1537,,Scarborough (TAB),Caribbean Airlines AT76 (9Y-TTB),Landed 19:00,2021-05-09
20,20,19:40 AA2324,,Miami (MIA),American Airlines -,Canceled,2021-05-09
21,21,20:25 BW1539,,Scarborough (TAB),Caribbean Airlines AT76 (9Y-TTC),Canceled,2021-05-09
22,22,22:25 BW1641,,Scarborough (TAB),Caribbean Airlines B738 (9Y-ANU),Canceled,2021-05-09
0,0,01:35 BW462,,Georgetown (GEO),Caribbean Airlines AT76 (9Y-TTI),Landed 00:27,2021-05-10
1,1,07:15 BW1501,,Scarborough (TAB),Caribbean Airlines AT76 (9Y-TTC),Canceled,2021-05-10
2,2,08:35 BW1503,,Scarborough (TAB),Caribbean Airlines AT76 (9Y-TTA),Landed 08:15,2021-05-10
3,3,09:25 BW1505,,Scarborough (TAB),Caribbean Airlines AT76 (9Y-TTC),Canceled,2021-05-10
4,4,09:40 M68115,,Miami (MIA),Amerijet International 76F,Unknown,2021-05-10
5,5,10:10 BW1507,,Scarborough (TAB),Caribbean Airlines AT76 (9Y-TTB),Canceled,2021-05-10
6,6,11:35 BW1509,,Scarborough (TAB),Caribbean Airlines AT76 (9Y-TTC),Canceled,2021-05-10
7,7,12:10 M6811,,Miami (MIA),Amerijet International B763 (N347CM),Landed 12:00,2021-05-10
8,8,12:20 BW1517,,Scarborough (TAB),Caribbean Airlines AT76 (9Y-TTB),Canceled,2021-05-10
9,9,13:55 BW1521,,Scarborough (TAB),Caribbean Airlines AT76 (9Y-TTC),Canceled,2021-05-10
10,10,14:40 BW1523,,Scarborough (TAB),Caribbean Airlines AT76 (9Y-TTB),Canceled,2021-05-10
11,11,15:15 C28129,,Aguadilla (BQN),FedEx AT73 (N806FX),Landed 15:15,2021-05-10
12,12,15:35 BW1527,,Scarborough (TAB),Caribbean Airlines AT76 (9Y-TTF),Landed 15:25,2021-05-10
13,13,16:50 BW527,,Georgetown (GEO),Caribbean Airlines AT76 (9Y-TTB),Landed 15:56,2021-05-10
14,14,16:50 BW1529,,Scarborough (TAB),Caribbean Airlines AT76 (9Y-TTB),Canceled,2021-05-10
15,15,18:25 BW1535,,Scarborough (TAB),Caribbean Airlines AT76 (9Y-TTC),Canceled,2021-05-10
16,16,19:20 BW7441,,Point Salines (GND),Caribbean Airlines AT76 (9Y-TTF),Canceled,2021-05-10
17,17,19:35 BW1537,,Scarborough (TAB),Caribbean Airlines AT76 (9Y-TTF),Landed 19:06,2021-05-10
18,18,19:35 BW1633,,Scarborough (TAB),Caribbean Airlines B738 (9Y-GEO),Canceled,2021-05-10
19,19,19:40 AA2324,,Miami (MIA),American Airlines -,Canceled,2021-05-10
20,20,20:10 M68113,,Miami (MIA),Amerijet International 76F,Unknown,2021-05-10
21,21,21:00 BW1539,,Scarborough (TAB),Caribbean Airlines AT76 (9Y-TTC),Canceled,2021-05-10
22,22,22:10 BW795,,Miami (MIA),Northern Air Cargo B763 (N379CX),Landed 21:37,2021-05-10
23,23,22:25 BW1641,,Scarborough (TAB),Caribbean Airlines B738 (9Y-GEO),Canceled,2021-05-10
24,24,23:45 D5321,,Bridgetown (BGI),DHL Aero Expreso 75F,Unknown,2021-05-10
0,0,07:15 BW1501,,Scarborough (TAB),Caribbean Airlines AT76 (9Y-TTC),Canceled,2021-05-11
1,1,08:35 BW1503,,Scarborough (TAB),Caribbean Airlines AT76 (9Y-TTC),Landed 08:18,2021-05-11
2,2,08:50 BW791,,Bridgetown (BGI),StratAir B763 (N351CM),Landed 08:14,2021-05-11
3,3,09:25 BW1505,,Scarborough (TAB),Caribbean Airlines AT76 (9Y-TTC),Canceled,2021-05-11
4,4,10:00 PY729,,Paramaribo (PBM),Surinam Airways 737,Unknown,2021-05-11
5,5,10:10 BW1507,,Scarborough (TAB),Caribbean Airlines AT76 (9Y-TTA),Canceled,2021-05-11
6,6,11:10 BW607,,Georgetown (GEO),Caribbean Airlines AT76 (9Y-TTB),Landed 10:41,2021-05-11
7,7,11:35 BW1509,,Scarborough (TAB),Caribbean Airlines AT76 (9Y-TTC),Canceled,2021-05-11
8,8,12:20 BW1517,,Scarborough (TAB),Caribbean Airlines AT76 (9Y-TTA),Canceled,2021-05-11
9,9,12:23 D5320,,Caracas (CCS),DHL Aero Expreso 75F,Unknown,2021-05-11
10,10,13:45 BW1521,,Scarborough (TAB),Caribbean Airlines AT76 (9Y-TTC),Canceled,2021-05-11
11,11,14:40 BW1523,,Scarborough (TAB),Caribbean Airlines AT76 (9Y-TTB),Canceled,2021-05-11
12,12,15:00 PY730,,Willemstad (CUR),Surinam Airways 737,Unknown,2021-05-11
13,13,15:25 BW1525,,Scarborough (TAB),Caribbean Airlines AT76 (9Y-TTA),Canceled,2021-05-11
14,14,15:35 BW1527,,Scarborough (TAB),Caribbean Airlines AT76 (9Y-TTC),Landed 14:53,2021-05-11
15,15,15:44 A86915,,Bridgetown (BGI),Ameriflight SW4 (N249DH),Landed 15:37,2021-05-11
16,16,15:55 A88129,,Aguadilla (BQN),Ameriflight E120 (N567SW),Unknown,2021-05-11
17,17,16:50 BW1529,,Scarborough (TAB),Caribbean Airlines AT76 (9Y-TTB),Canceled,2021-05-11
18,18,17:35 BW1531,,Scarborough (TAB),Caribbean Airlines AT76 (9Y-TTA),Canceled,2021-05-11
19,19,17:40 M6821,,Miami (MIA),Amerijet International 76F,Unknown,2021-05-11
