,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,7:50 AM AR2782,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-14
1,1,2:40 PM AR1780,,Buenos Aires (AEP),Aerolineas Argentinas 73R,Canceled,2020-10-14
0,0,7:50 AM AR2782,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-15
1,1,8:05 AM AR1770,,Buenos Aires (EZE),Aerolineas Argentinas 738,Unknown,2020-10-15
2,2,2:50 PM AR2780,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-15
0,0,7:50 AM AR2782,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-16
1,1,2:55 PM AR1780,,Buenos Aires (AEP),Aerolineas Argentinas 73R,Canceled,2020-10-16
0,0,8:05 AM AR1770,,Buenos Aires (EZE),Aerolineas Argentinas 738,Unknown,2020-10-17
1,1,2:50 PM AR2780,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-17
0,0,8:05 AM AR1770,,Buenos Aires (EZE),Aerolineas Argentinas 738,Unknown,2020-10-18
1,1,2:40 PM AR1780,,Buenos Aires (AEP),Aerolineas Argentinas 73R,Canceled,2020-10-18
0,0,7:50 AM AR2782,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-19
1,1,2:50 PM AR2780,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-19
0,0,7:50 AM AR2782,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-20
1,1,8:05 AM AR1770,,Buenos Aires (EZE),Aerolineas Argentinas 738,Unknown,2020-10-20
2,2,2:50 PM AR2780,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-20
0,0,7:50 AM AR2782,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-21
1,1,2:40 PM AR1780,,Buenos Aires (AEP),Aerolineas Argentinas 73R,Canceled,2020-10-21
0,0,7:50 AM AR2782,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-22
1,1,8:25 AM AR1770,,Buenos Aires (EZE),Aerolineas Argentinas B738 (LV-CTC),Unknown,2020-10-22
2,2,2:50 PM AR2780,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-22
0,0,7:50 AM AR2782,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-23
1,1,2:55 PM AR1780,,Buenos Aires (AEP),Aerolineas Argentinas 73R,Canceled,2020-10-23
0,0,8:05 AM AR1770,,Buenos Aires (EZE),Aerolineas Argentinas 738,Unknown,2020-10-24
