,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:22,B6937,New York (JFK),JetBlue Airways A321 (N966JT),Landed 23:55,2021-05-09
1,1,01:25,B6923,Boston (BOS),JetBlue Airways A321 (N972JT),Landed 01:12,2021-05-09
2,2,01:55 NK633,,Fort Lauderdale (FLL),Spirit Airlines A321 (N664NK),Landed 03:03,2021-05-09
3,3,08:27 B62137,,New York (JFK),JetBlue Airways A21N (N2044J),Unknown,2021-05-09
4,4,08:35,B61493,New York (EWR),JetBlue Airways A320 (N634JB),Unknown,2021-05-09
5,5,09:11,B62723,Boston (BOS),JetBlue Airways A320 (N535JB),Landed 09:00,2021-05-09
6,6,09:48 B6137,,New York (JFK),JetBlue Airways A320 (N655JB),Landed 09:40,2021-05-09
7,7,10:37 B6693,,New York (EWR),JetBlue Airways A320 (N607JB),Unknown,2021-05-09
8,8,11:40 UA1041,,New York (EWR),United Airlines B739 (N37456),Landed 11:33,2021-05-09
9,9,11:44 DL1845,,New York (JFK),Delta Air Lines B739 (N904DN),Landed 11:15,2021-05-09
10,10,12:00 BB4220,,San Juan (SJU),Seaborne Airlines SF34 (N353SA),Landed 11:48,2021-05-09
11,11,12:50 9Q303,,Providenciales (PLS),Caicos Express Airways BE1,Unknown,2021-05-09
12,12,14:10 UA1624,,New York (EWR),United Airlines B738 (N73275),Landed 13:49,2021-05-09
13,13,15:10 AA776,,Miami (MIA),American Airlines B38M (N308RD),Landed 15:04,2021-05-09
14,14,15:42 DL1933,,New York (JFK),Delta Air Lines B739 (N859DN),Landed 15:13,2021-05-09
15,15,16:33,B6337,New York (JFK),JetBlue Airways A321 (N948JB),Landed 16:29,2021-05-09
16,16,17:09 DL1855,,New York (JFK),Delta Air Lines B739 (N861DN),Landed 16:43,2021-05-09
17,17,18:35 B61537,,New York (JFK),JetBlue Airways A21N (N2044J),Landed 18:29,2021-05-09
18,18,18:49,B6893,New York (EWR),JetBlue Airways A320 (N634JB),Landed 18:39,2021-05-09
19,19,19:33 B6237,,New York (JFK),JetBlue Airways A321 (N999JQ),Landed 19:00,2021-05-09
20,20,20:21 AA2242,,Miami (MIA),American Airlines B738 (N893NN),Landed 20:10,2021-05-09
