,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,07:53 B61359,,New York (JFK),JetBlue Airways A321 (N974JT),Unknown,2021-05-09
1,1,11:19 B61375,,Fort Lauderdale (FLL),JetBlue Airways E190 (N216JB),Landed 13:21,2021-05-09
2,2,13:44,,Miami (TMB),- PC12 (N420CJ),Canceled,2021-05-09
3,3,13:45 AA1400,,Miami (MIA),American Airlines B738 (N309PC),Landed 13:18,2021-05-09
4,4,14:12 B6875,,Fort Lauderdale (FLL),JetBlue Airways E190 (N249JB),Landed 15:55,2021-05-09
5,5,16:55 JY250,,Providenciales (PLS),InterCaribbean Airways ER4,Canceled,2021-05-09
6,6,17:15 JY614,,Santiago de Cuba (SCU),InterCaribbean Airways EM2,Canceled,2021-05-09
7,7,17:28 B61575,,Fort Lauderdale (FLL),JetBlue Airways E190 (N316JB),Landed 17:21,2021-05-09
8,8,17:52 B61759,,New York (JFK),JetBlue Airways A321 (N958JB),Landed 17:59,2021-05-09
9,9,18:35 BW14,,New York (JFK),Caribbean Airlines B738 (9Y-MBJ),Landed 18:09,2021-05-09
10,10,18:51 BW8040,,Miami (MIA),StratAir B763 (N351CM),Landed 18:52,2021-05-09
11,11,18:55 KX606,,George Town (GCM),Cayman Airways 733,Unknown,2021-05-09
12,12,19:03,DL1906,Atlanta (ATL),Delta Air Lines B738 (N391DA),Landed 18:55,2021-05-09
13,13,20:00 BW458,,Antigua (ANU),Caribbean Airlines B738 (9Y-TAB),Landed 20:25,2021-05-09
0,0,07:53 B61359,,New York (JFK),JetBlue Airways A321 (N974JT),Landed 08:23,2021-05-10
1,1,08:05 KX620,,George Town (GCM),Cayman Airways 733,Unknown,2021-05-10
2,2,09:20,,Miami (TMB),- PC12 (N420CJ),Landed 08:42,2021-05-10
3,3,10:00 BW8040,,Miami (MIA),Caribbean Airlines 76Y,Unknown,2021-05-10
4,4,10:26 ZT8132,,Port-au-Prince (PAP),Titan Airways A321 (G-NIKO),Landed 10:16,2021-05-10
5,5,10:32 II965,,Miami (MIA),IBC Airways SF34 (N641BC),Landed 10:20,2021-05-10
6,6,11:19 B61375,,Fort Lauderdale (FLL),JetBlue Airways E190 (N192JB),Landed 11:54,2021-05-10
7,7,12:39 II727,,Miami (MIA),IBC Airways SF34 (N921BC),Landed 12:25,2021-05-10
8,8,12:49,CM418,Panama City (PTY),Copa Airlines B738 (HP-1713CMP),Landed 12:35,2021-05-10
9,9,13:45 AA1400,,Miami (MIA),American Airlines B738 (N991AN),Landed 13:20,2021-05-10
10,10,13:53 NK723,,Fort Lauderdale (FLL),Spirit Airlines A319 (N534NK),Landed 13:40,2021-05-10
11,11,14:12 B6875,,Fort Lauderdale (FLL),JetBlue Airways E190 (N238JB),Landed 14:18,2021-05-10
12,12,15:45 M6819,,Miami (MIA),Amerijet International 76F,Unknown,2021-05-10
13,13,16:20 JY408,,Santo Domingo (SDQ),InterCaribbean Airways EM2,Canceled,2021-05-10
14,14,16:45 M68135,,Miami (MIA),Titan Airways A321 (G-NIKO),Unknown,2021-05-10
15,15,16:55 JY250,,Providenciales (PLS),InterCaribbean Airways E145 (VQ-TLR),Landed 16:38,2021-05-10
16,16,17:28 B61575,,Fort Lauderdale (FLL),JetBlue Airways E190 (N309JB),Unknown,2021-05-10
17,17,17:52 B61759,,New York (JFK),JetBlue Airways A321 (N999JQ),Landed 18:46,2021-05-10
18,18,18:30 JY617,,Havana (HAV),InterCaribbean Airways ER4,Canceled,2021-05-10
19,19,18:35 BW14,,New York (JFK),Caribbean Airlines B738 (9Y-TAB),Landed 18:09,2021-05-10
20,20,19:03,DL1906,Atlanta (ATL),Delta Air Lines B738 (N3773D),Landed 19:18,2021-05-10
0,0,07:53 B61359,,New York (JFK),JetBlue Airways A321 (N974JT),Landed 07:48,2021-05-11
1,1,08:05 KX600,,George Town (GCM),Cayman Airways 733,Unknown,2021-05-11
2,2,11:19 B61375,,Fort Lauderdale (FLL),JetBlue Airways E190 (N183JB),Landed 11:31,2021-05-11
3,3,12:05 II965,,Miami (MIA),IBC Airways SF34 (N901BC),Landed 11:52,2021-05-11
4,4,12:28 II727,,Miami (MIA),IBC Airways SF34 (N651BC),Landed 12:17,2021-05-11
5,5,13:45 AA1400,,Miami (MIA),American Airlines B738 (N992AN),Landed 13:29,2021-05-11
6,6,14:12 B6875,,Fort Lauderdale (FLL),JetBlue Airways E190 (N273JB),Landed 14:00,2021-05-11
7,7,16:55 JY250,,Providenciales (PLS),InterCaribbean Airways ER4,Canceled,2021-05-11
8,8,17:15 JY614,,Santiago de Cuba (SCU),InterCaribbean Airways EM2,Canceled,2021-05-11
9,9,17:28 B61575,,Fort Lauderdale (FLL),JetBlue Airways E190 (N216JB),Landed 17:18,2021-05-11
10,10,17:52 B61759,,New York (JFK),JetBlue Airways A321 (N971JT),Landed 17:39,2021-05-11
11,11,18:35 BW14,,New York (JFK),Caribbean Airlines B738 (9Y-MBJ),Landed 17:56,2021-05-11
12,12,21:45 BW8042,,Miami (MIA),Northern Air Cargo B763 (N379CX),Landed 21:29,2021-05-11
0,0,07:53 B61359,,New York (JFK),JetBlue Airways A321 (N974JT),Landed 07:40,2021-05-12
1,1,08:05 KX600,,George Town (GCM),Cayman Airways 733,Unknown,2021-05-12
2,2,11:19 B61375,,Fort Lauderdale (FLL),JetBlue Airways E190 (N273JB),Landed 11:35,2021-05-12
3,3,12:42 II965,,Miami (MIA),IBC Airways SF34 (N681BC),Landed 12:29,2021-05-12
4,4,13:30 II727,,Miami (MIA),IBC Airways SF34 (N641BC),Landed 13:25,2021-05-12
5,5,13:45 AA1400,,Miami (MIA),American Airlines B38M (N338RS),Landed 14:03,2021-05-12
6,6,14:12 B6875,,Fort Lauderdale (FLL),JetBlue Airways E190 (N238JB),Landed 14:42,2021-05-12
7,7,15:15 M68317,,Miami (MIA),Amerijet International DC8,Unknown,2021-05-12
8,8,15:30,BA2263,London (LGW),British Airways B772 (G-VIIR),Landed 15:46,2021-05-12
9,9,16:20 JY408,,Santo Domingo (SDQ),InterCaribbean Airways ER4,Canceled,2021-05-12
