,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,09:00,,Bogota (BOG),- A320,Canceled,2021-05-09
1,1,09:10 9R8807,,Providencia (PVA),Satena L4T,Unknown,2021-05-09
2,2,09:20 VH5610,,Bogota (BOG),Viva Air A20N (HK-5360),Unknown,2021-05-09
3,3,09:24,LA4250,Bogota (BOG),LATAM Airlines A319 (CC-CPL),Unknown,2021-05-09
4,4,09:56,AV8560,Bogota (BOG),Avianca A320 (N743AV),Unknown,2021-05-09
5,5,10:10 LA4270,,Cali (CLO),LATAM Airlines A319 (CC-CPJ),Canceled,2021-05-09
6,6,10:32 LA4281,,Medellin (MDE),LATAM Airlines A320 (CC-BAM),Unknown,2021-05-09
7,7,11:22 LA4252,,Bogota (BOG),LATAM Airlines A319 (CC-COX),Unknown,2021-05-09
8,8,11:43 VH5608,,Medellin (MDE),Viva Air A20N (HK-5365),Unknown,2021-05-09
9,9,12:00 P57208,,Cali (CLO),Wingo B738 (HP-1537CMP),Unknown,2021-05-09
10,10,12:18,,Bogota (BOG),- A320,Canceled,2021-05-09
11,11,12:48 VH5854,,Bogota (BOG),Viva Air A320 (HK-5277),Unknown,2021-05-09
12,12,13:31 LA4230,,Cartagena (CTG),LATAM Airlines A320 (CC-BAR),Unknown,2021-05-09
13,13,14:55 P57220,,Bogota (BOG),Wingo B738 (HP-1715CMP),Unknown,2021-05-09
14,14,15:17 VH5892,,Medellin (MDE),Viva Air A320 (HK-5327),Unknown,2021-05-09
15,15,15:27 LA4254,,Bogota (BOG),LATAM Airlines A319 (CC-CPF),Unknown,2021-05-09
16,16,16:00,AV9778,Bogota (BOG),Avianca A320 (N401AV),Unknown,2021-05-09
17,17,16:44,,Medellin (EOH),- A320,Canceled,2021-05-09
18,18,17:00 VH5600,,Medellin (MDE),Viva Air A20N (HK-5365),Unknown,2021-05-09
19,19,17:05 9R8809,,Providencia (PVA),Satena L4T,Unknown,2021-05-09
20,20,17:26 AV9776,,Bogota (BOG),Avianca A320 (N992AV),Unknown,2021-05-09
21,21,17:45 9A1519,,Cali (CLO),GCA Airlines 734,Unknown,2021-05-09
