,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:15 AC7041,,Toronto (YYZ),Air Canada Jetz A319 (C-GBHN),Landed 00:10,2021-05-09
1,1,00:53 CM422,,Panama City (PTY),Copa Airlines B738 (HP-1725CMP),Landed 00:47,2021-05-09
2,2,06:33,,Charlottetown (YYG),- CRJ9,Canceled,2021-05-09
3,3,06:39,AC8011,Charlottetown (YYG),Air Canada Express CRJ9 (C-FJZL),Canceled,2021-05-09
4,4,06:55 AC7553,,Halifax (YHZ),Air Canada Express DH8D (C-GJZK),Landed 06:38,2021-05-09
5,5,07:04 AC8901,,Moncton (YQM),Air Canada Express CRJ2 (C-FFJA),Landed 06:48,2021-05-09
6,6,07:07 AC8703,,Quebec (YQB),Air Canada Express DH8D (C-GJZX),Landed 06:44,2021-05-09
7,7,07:09 AC8970,,Ottawa (YOW),Air Canada Express CRJ9 (C-GFJZ),Landed 06:57,2021-05-09
8,8,07:10 AC314,,Vancouver (YVR),Air Canada BCS3 (C-GROV),Landed 07:09,2021-05-09
9,9,07:10 AC396,,Calgary (YYC),Air Canada BCS3 (C-GMZY),Landed 07:15,2021-05-09
10,10,07:10,AC675,St. John's (YYT),Air Canada (Trans-Canada Air Lines Livery) BCS3 (C-GNBN),Landed 07:02,2021-05-09
11,11,10:19 AC404,,Toronto (YYZ),Air Canada A321 (C-GJVX),Landed 10:00,2021-05-09
12,12,11:50 AC7213,,Frankfurt (FRA),Air Canada B789 (C-FVLU),Landed 11:04,2021-05-09
13,13,12:08 AC29,,New York (EWR),Air Canada Express CRJ2 (C-GJZZ),Landed 12:02,2021-05-09
14,14,12:14,AC8029,New York (EWR),Air Canada Express CRJ2 (C-GJZZ),Unknown,2021-05-09
15,15,12:15,AC8974,Ottawa (YOW),Air Canada Express DH8D (C-GJZA),Landed 11:59,2021-05-09
16,16,12:20,AC8699,Sept-Iles (YZV),Air Canada Express CRJ2 (C-GTJA),Landed 11:49,2021-05-09
17,17,13:58 USC422,,Buffalo (BUF),Airnet LJ35 (N353CK),Landed 13:42,2021-05-09
18,18,14:24 YN531,,Waskaganish (YKQ),Air Creebec DH8A (C-FCSK),Landed 14:16,2021-05-09
19,19,14:39 AC17,,St. John's (YYT),Air Canada Express CRJ9 (C-GFJZ),Landed 14:27,2021-05-09
20,20,14:40,QR763,Doha (DOH),Qatar Airways A359 (A7-AMJ),Landed 14:33,2021-05-09
21,21,14:45,AC8017,St. John's (YYT),Air Canada Express CRJ9 (C-GFJZ),Unknown,2021-05-09
22,22,14:45 3H793,,Kuujjuaq (YVP),Air Inuit B733 (C-GFFN),Landed 13:50,2021-05-09
23,23,14:45,,Lebanon (LEB),- AC68 (N700RA),Landed 15:38,2021-05-09
24,24,15:10,LX86,Zurich (ZRH),Swiss A333 (HB-JHF),Landed 14:30,2021-05-09
25,25,15:14,AC414,Toronto (YYZ),Air Canada B789 (C-FVNF),Landed 14:55,2021-05-09
26,26,15:57,DL4740,Detroit (DTW),Delta Connection CRJ7 (N655CA),Landed 16:14,2021-05-09
27,27,16:00,AC871,Paris (CDG),Air Canada B789 (C-FGFZ),Landed 15:35,2021-05-09
28,28,16:05,LH478,Frankfurt (FRA),Lufthansa A359 (D-AIXP),Landed 15:09,2021-05-09
29,29,16:30,AC304,Vancouver (YVR),Air Canada B38M (C-FSEQ),Landed 16:20,2021-05-09
30,30,16:43 AC7594,,Chicago (ORD),Air Canada Express CRJ9 (C-GPJZ),Landed 16:16,2021-05-09
31,31,16:49,AC8905,Moncton (YQM),Air Canada Express CRJ2 (C-GUJA),Landed 16:41,2021-05-09
32,32,16:52,AC8711,Quebec (YQB),Air Canada Express DH8D (C-GJZK),Landed 16:27,2021-05-09
33,33,16:55 AC7039,,Edmonton (YEG),Air Canada Jetz A319 (C-GBIK),Landed 16:53,2021-05-09
34,34,17:02,AC7557,Halifax (YHZ),Air Canada Express CRJ9 (C-GLJZ),Landed 16:52,2021-05-09
35,35,17:04,AC8980,Ottawa (YOW),Air Canada Express CRJ9 (C-GOJZ),Landed 16:47,2021-05-09
36,36,17:10 TK35,,Istanbul (IST),Turkish Airlines A359 (TC-LGA),Landed 16:49,2021-05-09
37,37,17:13 AC31,,New York (EWR),Air Canada Express CRJ2 (C-FZJA),Landed 17:02,2021-05-09
