,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,05:15 3V4387,,Liege (LGG),FedEx B734 (OE-IAT),Landed 05:05,2021-04-29
1,1,07:35 AA9720,,Charlotte (CLT),American Airlines B772,Unknown,2021-04-29
2,2,07:40 LH1927,,Berlin (BER),Lufthansa A319 (D-AILP),Landed 07:30,2021-04-29
3,3,07:55 EW7170,,Hamburg (HAM),Eurowings A320 (D-AEWL),Landed 07:33,2021-04-29
4,4,07:55 EW9082,,Dusseldorf (DUS),Eurowings A320 (D-AEWK),Landed 07:44,2021-04-29
5,5,08:10 LH94,,Frankfurt (FRA),Lufthansa CRJ9 (D-ACNC),Landed 07:55,2021-04-29
6,6,08:10 OS111,,Vienna (VIE),Austrian Airlines DH8D (OE-LGI),Landed 07:59,2021-04-29
7,7,08:15 EW80,,Cologne (CGN),Eurowings A320 (D-AEWV),Landed 07:49,2021-04-29
8,8,09:20,LO351,Warsaw (WAW),LOT E170 (SP-LDF),Landed 09:05,2021-04-29
9,9,09:20 UD441,,Arbil (EBL),GetJet Airlines A320 (LY-ELK),Landed 09:08,2021-04-29
10,10,09:40,UX1515,Madrid (MAD),Air Europa Express E195 (EC-LEK),Landed 09:26,2021-04-29
11,11,10:05,LH1929,Berlin (BER),Lufthansa CRJ9 (D-ACNQ),Landed 09:55,2021-04-29
12,12,10:10,LH98,Frankfurt (FRA),Lufthansa A320 (D-AIZX),Landed 10:27,2021-04-29
13,13,10:10,LH2003,Dusseldorf (DUS),Lufthansa CRJ9 (D-ACKE),Landed 10:19,2021-04-29
14,14,10:15,A3802,Athens (ATH),Aegean Airlines A320 (SX-DNC),Landed 10:00,2021-04-29
15,15,10:15,LH2051,Hamburg (HAM),Lufthansa A319 (D-AIBE),Landed 10:04,2021-04-29
16,16,10:35 EW6890,,Palma de Mallorca (PMI),Eurowings A319 (OE-LYV),Landed 10:16,2021-04-29
17,17,10:35,LH2189,Bremen (BRE),Lufthansa CRJ9 (D-ACNJ),Landed 10:37,2021-04-29
18,18,11:00,KL1793,Amsterdam (AMS),KLM E75L (PH-EXJ),Landed 11:09,2021-04-29
19,19,12:00 TK7738,,Istanbul (SAW),AnadoluJet B738 (TC-JZK),Landed 12:10,2021-04-29
20,20,12:05 SU2826,,St. Petersburg (LED),Aeroflot A320 (VP-BIJ),Landed 11:55,2021-04-29
21,21,12:15,EY5,Abu Dhabi (AUH),Etihad (ADNOC - Choose China Livery) B789 (A6-BLF),Landed 12:12,2021-04-29
22,22,12:15,LH1867,Rome (FCO),Air Dolomiti (Star Alliance Livery) E195 (I-ADJV),Landed 11:54,2021-04-29
23,23,12:20 PC1019,,Istanbul (SAW),Pegasus A320 (TC-DCD),Landed 12:08,2021-04-29
24,24,12:41 BY929P,,Detroit (DTW),TUI B789 (G-TUIM),Landed 11:58,2021-04-29
25,25,13:15,EK49,Dubai (DXB),Emirates B77W (A6-ECA),Landed 13:11,2021-04-29
26,26,13:30,QR57,Doha (DOH),Qatar Airways A359 (A7-ALG),Landed 13:49,2021-04-29
27,27,13:45,LH1811,Barcelona (BCN),Air Dolomiti E195 (I-ADJP),Landed 13:28,2021-04-29
28,28,13:50 LH2137,,Munster (FMO),Lufthansa CRJ9 (D-ACKE),Landed 13:42,2021-04-29
29,29,13:50,LH2415,Stockholm (ARN),Lufthansa A319 (D-AILP),Landed 13:44,2021-04-29
30,30,13:55,LH1651,Bucharest (OTP),Lufthansa CRJ9 (D-ACNF),Landed 14:15,2021-04-29
31,31,14:00,LH1703,Sofia (SOF),Lufthansa CRJ9 (D-ACKH),Landed 13:33,2021-04-29
32,32,14:05 LH2013,,Dusseldorf (DUS),Lufthansa A319 (D-AILY),Landed 13:54,2021-04-29
33,33,14:05 LH1937,,Berlin (BER),Lufthansa (Star Alliance Livery) A319 (D-AILT),Landed 13:51,2021-04-29
34,34,14:10,LH106,Frankfurt (FRA),Lufthansa A320 (D-AIZX),Landed 14:11,2021-04-29
35,35,14:15,LH683,Tel Aviv (TLV),Lufthansa A319 (D-AIBC),Landed 14:09,2021-04-29
36,36,14:15,LH2461,Helsinki (HEL),Air Dolomiti E195 (I-ADJK),Landed 14:07,2021-04-29
37,37,14:25,LH1801,Madrid (MAD),Air Dolomiti E195 (I-ADJO),Landed 13:57,2021-04-29
38,38,14:25,LH2229,Paris (CDG),Lufthansa CRJ9 (D-ACNC),Landed 14:13,2021-04-29
39,39,14:25,LH2441,Copenhagen (CPH),Lufthansa CRJ9 (D-ACNV),Landed 14:18,2021-04-29
40,40,14:30,LH1657,Timisoara (TSR),Lufthansa CRJ9 (D-ACKF),Landed 14:22,2021-04-29
41,41,14:30 LH2059,,Hamburg (HAM),Lufthansa A319 (D-AILH),Landed 14:21,2021-04-29
42,42,14:35 LH719,,Seoul (ICN),Lufthansa A359 (D-AIXB),Landed 14:25,2021-04-29
43,43,14:40,AF1622,Paris (CDG),Air France E70,Canceled,2021-04-29
44,44,14:40,LH1623,Krakow (KRK),Lufthansa CRJ9 (D-ACNJ),Landed 14:29,2021-04-29
45,45,14:40,LH1677,Budapest (BUD),Lufthansa CRJ9 (D-ACNH),Landed 14:29,2021-04-29
46,46,14:40,LH2287,Brussels (BRU),Lufthansa CRJ9 (D-ACNG),Landed 14:34,2021-04-29
47,47,14:45,LH1613,Warsaw (WAW),Lufthansa CRJ9 (D-ACKD),Landed 14:31,2021-04-29
48,48,14:50 X32196,,Tenerife (TFS),TUI B738 (D-ATYB),Landed 22:43,2021-04-29
49,49,14:55,LH2273,Nice (NCE),Lufthansa CRJ9 (D-ACNI),Landed 14:32,2021-04-29
50,50,15:40 LH2219,,Toulouse (TLS),Lufthansa CRJ9 (D-ACNA),Landed 15:36,2021-04-29
51,51,16:50 LH2729,,Palma de Mallorca (PMI),Lufthansa A319 (D-AILW),Landed 16:38,2021-04-29
52,52,16:55,LH1753,Athens (ATH),Lufthansa A20N (D-AINZ),Landed 17:09,2021-04-29
53,53,17:10,TK1635,Istanbul (IST),Turkish Airlines A21N (TC-LSL),Landed 17:04,2021-04-29
54,54,17:35 LH1797,,Palma de Mallorca (PMI),Lufthansa A20N (D-AINT),Landed 17:23,2021-04-29
55,55,17:50,AY1405,Helsinki (HEL),Finnair E190 (OH-LKG),Landed 17:42,2021-04-29
56,56,18:10,LH114,Frankfurt (FRA),Lufthansa A20N (D-AINY),Landed 18:07,2021-04-29
57,57,18:10 LH2717,,Ibiza (IBZ),Lufthansa A20N (D-AINM),Landed 17:56,2021-04-29
58,58,18:15,EW4062,Dortmund (DTM),Eurowings A319 (D-AGWF),Landed 18:03,2021-04-29
59,59,18:15 LH1847,,Ibiza (IBZ),Air Dolomiti (Star Alliance Livery) E195 (I-ADJV),Landed 18:00,2021-04-29
