,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,06:10 BW1500,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTB),Canceled,2021-05-09
1,1,07:25 BW1502,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTB),Landed 06:58,2021-05-09
2,2,08:20 BW1504,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTB),Canceled,2021-05-09
3,3,09:05 BW1506,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTA),Canceled,2021-05-09
4,4,10:30 BW1512,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTB),Canceled,2021-05-09
5,5,11:15 BW1516,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTA),Canceled,2021-05-09
6,6,12:50 BW1520,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTB),Canceled,2021-05-09
7,7,13:35 BW1522,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTA),Canceled,2021-05-09
8,8,14:20 BW1524,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTC),Canceled,2021-05-09
9,9,14:25 BW1526,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTB),Landed 14:08,2021-05-09
10,10,15:20 BW1624,,Port of Spain (POS),Caribbean Airlines B738 (9Y-ANU),Canceled,2021-05-09
11,11,16:00 BW1528,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTB),Canceled,2021-05-09
12,12,16:45 BW1530,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTC),Canceled,2021-05-09
13,13,18:10 BW1632,,Port of Spain (POS),Caribbean Airlines B738 (9Y-ANU),Canceled,2021-05-09
14,14,18:25 BW1536,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTB),Landed 18:00,2021-05-09
15,15,19:20 BW1538,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTC),Canceled,2021-05-09
16,16,21:00 BW1640,,Port of Spain (POS),Caribbean Airlines B738 (9Y-ANU),Canceled,2021-05-09
0,0,06:10 BW1500,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTC),Canceled,2021-05-10
1,1,07:25 BW1502,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTA),Landed 06:59,2021-05-10
2,2,08:20 BW1504,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTC),Canceled,2021-05-10
3,3,09:05 BW1506,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTB),Canceled,2021-05-10
4,4,10:30 BW1508,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTC),Canceled,2021-05-10
5,5,11:15 BW1516,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTB),Canceled,2021-05-10
6,6,12:50 BW1520,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTC),Canceled,2021-05-10
7,7,13:35 BW1522,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTB),Canceled,2021-05-10
8,8,14:25 BW1526,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTF),Landed 14:15,2021-05-10
9,9,15:45 BW1528,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTB),Canceled,2021-05-10
10,10,17:20 BW1534,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTC),Canceled,2021-05-10
11,11,18:10 BW1632,,Port of Spain (POS),Caribbean Airlines B738 (9Y-GEO),Canceled,2021-05-10
12,12,18:25 BW1536,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTF),Landed 17:56,2021-05-10
13,13,19:30 BW1538,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTC),Canceled,2021-05-10
14,14,21:00 BW1640,,Port of Spain (POS),Caribbean Airlines B738 (9Y-GEO),Canceled,2021-05-10
0,0,06:10 BW1500,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTC),Canceled,2021-05-11
1,1,07:25 BW1502,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTC),Landed 07:15,2021-05-11
2,2,08:20 BW1504,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTC),Canceled,2021-05-11
3,3,09:05 BW1506,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTA),Canceled,2021-05-11
4,4,10:30 BW1508,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTC),Canceled,2021-05-11
5,5,11:15 BW1516,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTA),Canceled,2021-05-11
6,6,12:40 BW1520,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTC),Canceled,2021-05-11
7,7,13:35 BW1522,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTB),Canceled,2021-05-11
8,8,14:20 BW1524,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTA),Canceled,2021-05-11
9,9,14:25 BW1526,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTC),Landed 13:54,2021-05-11
10,10,15:45 BW1528,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTB),Canceled,2021-05-11
11,11,16:30 BW1530,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTA),Canceled,2021-05-11
12,12,17:20 BW1534,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTC),Canceled,2021-05-11
13,13,18:05 BW1532,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTB),Canceled,2021-05-11
14,14,18:25 BW1536,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTC),Landed 17:46,2021-05-11
15,15,19:30 BW1538,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTC),Canceled,2021-05-11
16,16,20:15 BW1540,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTB),Canceled,2021-05-11
17,17,20:50 M68237,,Kingstown (SVD),Amerijet International 76F,Unknown,2021-05-11
0,0,06:10 BW1500,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTB),Canceled,2021-05-12
1,1,07:25 BW1502,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTC),Landed 06:54,2021-05-12
2,2,08:20 BW1504,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTB),Canceled,2021-05-12
3,3,09:05 BW1506,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTC),Canceled,2021-05-12
4,4,10:30 BW1508,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTA),Canceled,2021-05-12
5,5,11:15 BW1516,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTC),Canceled,2021-05-12
6,6,12:50 BW1520,,Port of Spain (POS),Caribbean Airlines AT76 (9Y-TTA),Canceled,2021-05-12
