,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:30 NH801,,Tokyo (NRT),All Nippon Airways B789 (JA922A),Landed 00:06,2021-04-29
1,1,00:35 3K206,,Jakarta (CGK),Jetstar Airways A320 (9V-JSU),Landed 00:02,2021-04-29
2,2,00:40 CI755,,Taipei (TPE),China Airlines A333 (B-18361),Landed 12:36,2021-04-29
3,3,00:50 2Y932,,Balikpapan (BPN),My Indo Airlines B733 (PK-MYC),Landed 08:30,2021-04-29
4,4,01:20 3K766,,Manila (MNL),Jetstar Airways A320 (9V-JSK),Landed 01:13,2021-04-29
5,5,01:40 QR8036,,Doha (DOH),Qatar Airways 77W,Unknown,2021-04-29
6,6,01:45 N7221,,Penang (PEN),NORRA 73F,Unknown,2021-04-29
7,7,02:00 TH382,,Kuala Lumpur (SZB),Raya Airways 73P,Unknown,2021-04-29
8,8,02:00 UL1429,,Melbourne (MEL),SriLankan Airlines A333 (4R-ALQ),Landed 01:51,2021-04-29
9,9,02:30 TR17,,Perth (PER),Scoot B789 (9V-OJE),Landed 02:10,2021-04-29
10,10,02:40 8K801,,Jakarta (CGK),K-Mile Air 73P,Unknown,2021-04-29
11,11,03:05 NH8411,,Tokyo (NRT),ANA Cargo B763 (JA603A),Landed 02:54,2021-04-29
12,12,03:40 KE8383,,Seoul (ICN),Korean Air Cargo B744 (HL7603),Landed 03:18,2021-04-29
13,13,04:00 CI5873,,Taipei (TPE),China Airlines 74Y,Unknown,2021-04-29
14,14,04:15 CI5879,,Taipei (TPE),China Airlines Cargo B744 (B-18715),Landed 04:43,2021-04-29
15,15,04:15 VN5655,,Ho Chi Minh City (SGN),Vietnam Airlines A321 (VN-A613),Landed 03:10,2021-04-29
16,16,04:35 RU339,,Moscow (SVO),AirBridgeCargo Airlines 74N,Unknown,2021-04-29
17,17,04:55 SQ246,,Brisbane (BNE),Singapore Airlines A359 (9V-SHQ),Landed 04:17,2021-04-29
18,18,05:00 IX688,,Chennai (MAA),Air India Express (Beach-Himalayas Livery) B738 (VT-AXX),Landed 04:48,2021-04-29
19,19,05:05 SQ623,,Osaka (KIX),Singapore Airlines A359 (9V-SHM),Landed 05:13,2021-04-29
20,20,05:20 SQ23,,New York (JFK),Singapore Airlines A359 (9V-SGE),Landed 04:09,2021-04-29
21,21,05:30 SQ218,,Melbourne (MEL),Singapore Airlines A359 (9V-SHD),Landed 04:45,2021-04-29
22,22,05:30 SQ305,,London (LHR),Singapore Airlines B77W (9V-SWO),Landed 05:22,2021-04-29
23,23,05:45 SQ33,,San Francisco (SFO),Singapore Airlines A359 (9V-SGG),Landed 05:19,2021-04-29
24,24,05:45 O37071,,Shenzhen (SZX),SF Airlines B763 (B-208R),Landed 13:51,2021-04-29
25,25,05:55 SQ323,,Amsterdam (AMS),Singapore Airlines A359 (9V-SMV),Landed 05:32,2021-04-29
26,26,05:55 SQ345,,Zurich (ZRH),Singapore Airlines A359 (9V-SMN),Landed 05:39,2021-04-29
27,27,06:10 SQ479,,Johannesburg (JNB),Singapore Airlines A359 (9V-SMP),Landed 05:25,2021-04-29
28,28,06:20 SQ351,,Copenhagen (CPH),Singapore Airlines A359 (9V-SMQ),Landed 05:58,2021-04-29
29,29,06:30 2Y924,,Jakarta (CGK),My Indo Airlines B733 (PK-MYY),Landed 06:32,2021-04-29
30,30,06:40 NH843,,Tokyo (HND),All Nippon Airways -,Canceled,2021-04-29
31,31,06:50 SQ25,,Frankfurt (FRA),Singapore Airlines A359 (9V-SMU),Landed 06:16,2021-04-29
32,32,06:50 SQ335,,Paris (CDG),Singapore Airlines A359 (9V-SME),Landed 06:19,2021-04-29
33,33,07:30 SQ37,,Los Angeles (LAX),Singapore Airlines A359 (9V-SMZ),Landed 07:31,2021-04-29
34,34,07:30,SQ317,London (LHR),Singapore Airlines A359 (9V-SMS),Landed 07:07,2021-04-29
35,35,07:40 6E9023,,Bengaluru (BLR),IndiGo A320 (VT-IFL),Landed 07:24,2021-04-29
36,36,07:55 SQ7887,,Shanghai (PVG),Singapore Airlines 74Y,Unknown,2021-04-29
37,37,08:15 O36973,,Hangzhou (HGH),SF Airlines 73F,Unknown,2021-04-29
38,38,08:15 Y87961,,Guangzhou (CAN),Suparna Airlines 73F,Unknown,2021-04-29
39,39,08:45 SQ7363,,Sharjah (SHJ),Singapore Airlines 74Y,Unknown,2021-04-29
40,40,08:55,QR942,Doha (DOH),Qatar Airways A359 (A7-ALX),Landed 08:00,2021-04-29
41,41,09:00 OZ396,,Ho Chi Minh City (SGN),Asiana Airlines 74F,Unknown,2021-04-29
42,42,09:00 OZ395,,Ho Chi Minh City (SGN),Asiana Cargo B744 (HL7415),Landed 07:41,2021-04-29
