,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,01:00 Y87909,,Xiamen (XMN),Suparna Airlines 73F,Unknown,2021-04-29
1,1,02:35 I99805,,Fuzhou (FOC),- 73F,Unknown,2021-04-29
2,2,03:30 YG9049,,Yiwu (YIW),YTO Cargo Airlines 73F,Unknown,2021-04-29
3,3,03:40 YG9079,,Hangzhou (HGH),YTO Cargo Airlines B752 (B-2812),Landed 07:20,2021-04-29
4,4,03:50 PR103,,Los Angeles (LAX),Philippine Airlines 773,Unknown,2021-04-29
5,5,03:55 PR8103,,Los Angeles (LAX),Philippine Airlines B77W,Canceled,2021-04-29
6,6,04:00 GI4039,,Zhengzhou (CGO),Longhao Airlines 73F,Unknown,2021-04-29
7,7,04:00 YG9041,,Hangzhou (HGH),YTO Cargo Airlines 73F,Unknown,2021-04-29
8,8,04:10 PR5103,,Los Angeles (LAX),Philippine Airlines B77W (RP-C7773),Landed 04:39,2021-04-29
9,9,04:32 HX781,,Hong Kong (HKG),Hong Kong Airlines A333 (B-LNQ),Landed 04:13,2021-04-29
10,10,04:40 GI4217,,Shenzhen (SZX),Longhao Airlines 73F,Unknown,2021-04-29
11,11,05:00 YG9025,,Changsha (CSX),YTO Cargo Airlines 73F,Unknown,2021-04-29
12,12,05:10 YG9113,,Nanning (NNG),YTO Cargo Airlines 73F,Unknown,2021-04-29
13,13,05:50 LD3349,,Hong Kong (HKG),DHL A306 (B-LDG),Landed 05:06,2021-04-29
14,14,07:00 Y87905,,Shanghai (PVG),Suparna Airlines 73F,Unknown,2021-04-29
15,15,07:40 O37355,,Shenzhen (SZX),SF Airlines B752 (B-2840),Landed 13:13,2021-04-29
16,16,07:45 LD3357,,Hong Kong (HKG),DHL A306 (B-LDF),Landed 07:09,2021-04-29
17,17,08:35,PR2520,Cagayan de Oro (CGY),Philippine Airlines DH8D (RP-C5905),Landed 07:43,2021-04-29
18,18,08:45 PR2836,,Cebu (CEB),Philippine Airlines DH8,Unknown,2021-04-29
19,19,08:50 5J382,,Cagayan de Oro (CGY),Cebu Pacific A21N (RP-C4118),Landed 08:13,2021-04-29
20,20,08:55 PR659,,Dubai (DXB),Philippine Airlines A333 (RP-C8783),Landed 08:15,2021-04-29
21,21,09:30 PR2558,,Dipolog (DPL),Philippine Airlines A320 (RP-C8606),Landed 09:28,2021-04-29
22,22,09:35,CI701,Taipei (TPE),China Airlines 333,Unknown,2021-04-29
23,23,09:40 Z2652,,Zamboanga (ZAM),Philippines AirAsia 320,Unknown,2021-04-29
24,24,09:45 5J772,,Pagadian (PAG),Cebu Pacific A320 (RP-C4107),Landed 09:21,2021-04-29
25,25,09:50,PR1846,Cebu (CEB),Philippine Airlines A321 (RP-C9902),Landed 09:13,2021-04-29
26,26,10:05 5J892,,Caticlan (MPH),Cebu Pacific 32N,Unknown,2021-04-29
27,27,10:10 DG6032,,San Jose (SJI),Cebgo AT7,Unknown,2021-04-29
28,28,10:15 5J552,,Cebu (CEB),Cebu Pacific A20N (RP-C4110),Landed 09:43,2021-04-29
29,29,10:20,PR2982,Tacloban (TAC),Philippine Airlines A320 (RP-C8398),Landed 09:54,2021-04-29
30,30,10:20 5J792,,Butuan (BXU),Cebu Pacific 320,Unknown,2021-04-29
31,31,10:30 CI5880,,Singapore (SIN),China Airlines Cargo B744 (B-18715),Landed 10:06,2021-04-29
32,32,10:40 PR1812,,Davao City (DVO),Philippine Airlines A321 (RP-C9905),Landed 10:15,2021-04-29
33,33,10:50 Z2323,,Tacloban (TAC),AirAsia A320 (RP-C8948),Landed 10:34,2021-04-29
34,34,10:55 5J484,,Bacolod City (BCD),Cebu Pacific A21N (RP-C4125),Landed 10:11,2021-04-29
35,35,11:15 5J197,,Cauayan (CYZ),Cebu Pacific 320,Unknown,2021-04-29
36,36,11:25 CX901,,Hong Kong (HKG),Cathay Pacific 359,Unknown,2021-04-29
37,37,11:25 5J886,,Cotabato (CBO),Cebu Pacific A320 (RP-C4108),Landed 10:56,2021-04-29
38,38,11:30,GF154,Bahrain (BAH),Gulf Air B789 (A9C-FE),Landed 10:19,2021-04-29
39,39,11:30 CI5841,,Taipei (TPE),China Airlines 74Y,Unknown,2021-04-29
