,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,3:05 AM SQ7298,,Sydney (SYD),Singapore Airlines Cargo B744 (9V-SFI),Landed 3:20 AM,2020-10-14
1,1,3:10 AM QF7523,,Sydney (SYD),Qantas Freight B763 (VH-EFR),Landed 2:29 AM,2020-10-14
2,2,3:40 AM HJ2,,Sydney (SYD),DHL B763 (VH-EXZ),Landed 3:32 AM,2020-10-14
3,3,4:45 AM QR912,,Brisbane (BNE),Qatar Airways B77W (A7-BEN),Landed 4:59 AM,2020-10-14
4,4,5:30 AM NZ1001,,Los Angeles (LAX),Air New Zealand B789 (ZK-NZN),Landed 5:45 AM,2020-10-14
5,5,5:45 AM NZ1007,,San Francisco (SFO),Air New Zealand B789 (ZK-NZI),Landed 5:51 AM,2020-10-14
6,6,6:45 AM NZ288,,Shanghai (PVG),Air New Zealand B789 (ZK-NZC),Landed 6:13 AM,2020-10-14
7,7,7:10 AM NZ8217,,Whangarei (WRE),Air New Zealand DH8C (ZK-NEH),Landed 6:58 AM,2020-10-14
8,8,7:15 AM NZ8275,,Kerikeri (KKE),Air New Zealand DH8C (ZK-NEG),Landed 7:05 AM,2020-10-14
9,9,7:25 AM NZ516,,Christchurch (CHC),Air New Zealand A320 (ZK-OJD),Landed 7:19 AM,2020-10-14
10,10,7:25 AM NZ5002,,Napier (NPE),Air New Zealand AT76 (ZK-MVX),Landed 7:12 AM,2020-10-14
11,11,7:25 AM NZ5030,,New Plymouth (NPL),Air New Zealand AT76 (ZK-MVW),Landed 7:16 AM,2020-10-14
12,12,7:30 AM NZ404,,Wellington (WLG),Air New Zealand A320 (ZK-OXM),Landed 7:22 AM,2020-10-14
13,13,7:30 AM 3C821,,Whakatane (WHK),Air Chathams SWM,Unknown,2020-10-14
14,14,7:45 AM 3C701,,Wanganui (WAG),Air Chathams SF34 (ZK-KRA),Landed 7:35 AM,2020-10-14
15,15,8:00 AM NZ5126,,Tauranga (TRG),Air New Zealand AT76 (ZK-MVV),Landed 7:45 AM,2020-10-14
16,16,8:00 AM NZ8064,,Nelson (NSN),Air New Zealand DH8C (ZK-NEU),Landed 7:47 AM,2020-10-14
17,17,8:15 AM 3C641,,Paraparaumu (PPQ),Air Chathams SFB,Unknown,2020-10-14
18,18,8:25 AM NZ8208,,Blenheim (BHE),Air New Zealand DH8C (ZK-NFI),Landed 8:07 AM,2020-10-14
19,19,8:35 AM NZ408,,Wellington (WLG),Air New Zealand A320 (ZK-OJF),Landed 8:25 AM,2020-10-14
20,20,8:35 AM NZ5120,,Palmerston North (PMR),Air New Zealand AT76 (ZK-MVC),Landed 8:17 AM,2020-10-14
21,21,8:35 AM NZ8160,,Gisborne (GIS),Air New Zealand DH8C (ZK-NEK),Canceled,2020-10-14
22,22,8:45 AM NZ5062,,Nelson (NSN),Air New Zealand AT76 (ZK-MVI),Landed 8:28 AM,2020-10-14
23,23,9:25 AM NZ526,,Christchurch (CHC),Air New Zealand A320 (ZK-OXJ),Landed 9:21 AM,2020-10-14
24,24,9:45 AM,JQ256,Wellington (WLG),Jetstar Airways A320 (VH-VFX),Landed 9:31 AM,2020-10-14
25,25,9:45 AM NZ5004,,Napier (NPE),Air New Zealand AT76 (ZK-MVZ),Landed 9:18 AM,2020-10-14
26,26,9:55 AM NZ5932,,Rotorua (ROT),Air New Zealand AT76 (ZK-MVU),Landed 9:46 AM,2020-10-14
27,27,10:00 AM,NZ8150,Rotorua (ROT),Air New Zealand DH8,Canceled,2020-10-14
28,28,10:05 AM,NZ680,Wellington (WLG),Air New Zealand A320 (ZK-OXG),Landed 9:52 AM,2020-10-14
29,29,10:05 AM NZ5128,,Tauranga (TRG),Air New Zealand AT76 (ZK-MVX),Landed 9:56 AM,2020-10-14
30,30,10:15 AM NZ8092,,Taupo (TUO),Air New Zealand DH8C (ZK-NEG),Landed 9:59 AM,2020-10-14
31,31,10:35 AM,NZ416,Wellington (WLG),Air New Zealand A320 (ZK-OXF),Landed 10:29 AM,2020-10-14
32,32,10:50 AM NZ5034,,New Plymouth (NPL),Air New Zealand AT76 (ZK-MVO),Landed 10:38 AM,2020-10-14
33,33,10:50 AM NZ8221,,Whangarei (WRE),Air New Zealand DH8C (ZK-NFI),Landed 10:35 AM,2020-10-14
34,34,11:05 AM NZ5132,,Tauranga (TRG),Air New Zealand AT76 (ZK-MVC),Landed 10:43 AM,2020-10-14
35,35,11:05 AM,NZ8164,Gisborne (GIS),Air New Zealand DH8C (ZK-NEH),Landed 10:50 AM,2020-10-14
36,36,11:05 AM NZ8267,,Kerikeri (KKE),Air New Zealand DH8C (ZK-NEU),Landed 10:53 AM,2020-10-14
37,37,11:15 AM,NZ5106,Palmerston North (PMR),Air New Zealand AT76 (ZK-MVJ),Landed 10:59 AM,2020-10-14
38,38,11:18 AM CI2053,,Taipei (TPE),China Airlines A359 (B-18903),Landed 11:19 AM,2020-10-14
39,39,11:20 AM NZ8932,,Gisborne (GIS),Air New Zealand DH8C (ZK-NEK),Landed 11:06 AM,2020-10-14
40,40,11:25 AM,NZ534,Christchurch (CHC),Air New Zealand A320 (ZK-OJD),Landed 11:24 AM,2020-10-14
41,41,11:30 AM NZ5068,,Nelson (NSN),Air New Zealand AT76 (ZK-MVB),Landed 11:21 AM,2020-10-14
42,42,11:30 AM,NZ8204,Blenheim (BHE),Air New Zealand DH8C (ZK-NEB),Landed 11:27 AM,2020-10-14
43,43,11:30 AM 3C707,,Wanganui (WAG),Air Chathams SF3,Unknown,2020-10-14
44,44,11:35 AM,NZ420,Wellington (WLG),Air New Zealand A320 (ZK-OXM),Landed 11:36 AM,2020-10-14
45,45,11:40 AM OL731,,Apia (APW),Polynesian 738,Unknown,2020-10-14
46,46,11:45 AM 3C827,,Whakatane (WHK),Air Chathams SWM,Unknown,2020-10-14
47,47,12:05 PM EK448,,Kuala Lumpur (KUL),Emirates B77W (A6-EQG),Landed 11:54 AM,2020-10-14
48,48,12:05 PM,NZ676,Dunedin (DUD),Air New Zealand A320 (ZK-OXH),Landed 11:48 AM,2020-10-14
49,49,12:15 PM,NZ8166,Gisborne (GIS),Air New Zealand DH8C (ZK-NEW),Landed 11:58 AM,2020-10-14
50,50,12:20 PM,NZ612,Queenstown (ZQN),Air New Zealand A320 (ZK-OXI),Landed 12:07 PM,2020-10-14
51,51,12:25 PM,NZ5012,Napier (NPE),Air New Zealand AT76 (ZK-MVD),Landed 12:18 PM,2020-10-14
52,52,12:45 PM FJ411,,Nadi (NAN),Fiji Airways 73H,Canceled,2020-10-14
53,53,12:55 PM,JQ292,Queenstown (ZQN),Jetstar Airways A320 (VH-VGU),Landed 12:32 PM,2020-10-14
54,54,12:55 PM,NZ540,Christchurch (CHC),Air New Zealand A320 (ZK-OXL),Landed 12:43 PM,2020-10-14
55,55,12:55 PM,NZ5070,Nelson (NSN),Air New Zealand AT76 (ZK-MVI),Landed 12:46 PM,2020-10-14
56,56,1:00 PM,JQ228,Christchurch (CHC),Jetstar Airways A320 (VH-VFO),Landed 12:50 PM,2020-10-14
57,57,1:35 PM,NZ428,Wellington (WLG),Air New Zealand A320 (ZK-OXJ),Landed 1:30 PM,2020-10-14
58,58,1:35 PM NZ8040,,New Plymouth (NPL),Air New Zealand DH8C (ZK-NFI),Landed 1:14 PM,2020-10-14
59,59,1:45 PM,NZ5110,Palmerston North (PMR),Air New Zealand AT76 (ZK-MVZ),Landed 1:34 PM,2020-10-14
60,60,1:50 PM,NZ616,Queenstown (ZQN),Air New Zealand A320 (ZK-OJS),Landed 1:44 PM,2020-10-14
61,61,2:10 PM NZ8140,,Tauranga (TRG),Air New Zealand DH8C (ZK-NEU),Landed 1:56 PM,2020-10-14
62,62,2:20 PM,JQ236,Christchurch (CHC),Jetstar Airways A320 (VH-VFL),Landed 2:22 PM,2020-10-14
63,63,2:25 PM,NZ546,Christchurch (CHC),Air New Zealand A320 (ZK-OXK),Landed 2:33 PM,2020-10-14
64,64,2:35 PM,NZ5016,Napier (NPE),Air New Zealand AT76 (ZK-MVO),Landed 2:36 PM,2020-10-14
65,65,2:40 PM,JQ284,Dunedin (DUD),Jetstar Airways A320 (VH-VFX),Landed 2:30 PM,2020-10-14
66,66,3:05 PM,NZ434,Wellington (WLG),Air New Zealand A320 (ZK-OXF),Landed 3:05 PM,2020-10-14
67,67,3:15 PM SQ7122,,Brisbane (BNE),Singapore Airlines 74Y,Unknown,2020-10-14
68,68,3:20 PM,NZ630,Queenstown (ZQN),Air New Zealand A320 (ZK-OXG),Landed 3:07 PM,2020-10-14
69,69,3:55 PM,NZ142,Brisbane (BNE),Air New Zealand A20N (ZK-NHA),Landed 3:34 PM,2020-10-14
