,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,15:35 QC213,,Yaounde (NSI),Camair-Co MA6,Unknown,2021-04-10
1,1,15:45,KP38,Lome (LFW),Asky Airlines B737 (ET-AVP),Unknown,2021-04-10
2,2,16:40 WB211,,Cotonou (COO),RwandAir 738,Unknown,2021-04-10
3,3,20:30,SN379,Brussels (BRU),Brussels Airlines A333 (OO-SFH),Unknown,2021-04-10
4,4,21:25,AF986,Yaounde (NSI),Air France B772 (F-GSPR),Unknown,2021-04-10
0,0,14:45 J7236,,Libreville (LBV),Afrijet AT7,Unknown,2021-04-11
1,1,15:05,KP34,Lome (LFW),Asky Airlines B738 (ET-ATU),Unknown,2021-04-11
2,2,15:45 J7235,,Sao Tome (TMS),Afrijet AT7,Unknown,2021-04-11
3,3,16:10 WB213,,Bangui (BGF),RwandAir 737,Unknown,2021-04-11
4,4,16:25 QC207,,Yaounde (NSI),Camair-Co MA6,Unknown,2021-04-11
5,5,20:30,SN383,Brussels (BRU),Brussels Airlines A333 (OO-SFE),Unknown,2021-04-11
6,6,21:25,AF982,Yaounde (NSI),Air France B772 (F-GSPR),Unknown,2021-04-11
0,0,15:05,KP34,Lome (LFW),Asky Airlines B737 (ET-AOK),Unknown,2021-04-12
1,1,18:40,AF983,Paris (CDG),Air France B772 (F-GSPN),Diverted to CDG,2021-04-12
2,2,20:30,SN369,Brussels (BRU),Brussels Airlines A333 (OO-SFC),Unknown,2021-04-12
3,3,20:36,AF983,Paris (CDG),Air France B772 (F-GSPN),Unknown,2021-04-12
4,4,23:25 TK667,,Istanbul (IST),Turkish Airlines B739 (TC-JYH),Unknown,2021-04-12
0,0,15:45,KP38,Lome (LFW),Asky Airlines B737 (ET-AVO),Unknown,2021-04-13
0,0,8:15 AM QC203,,Yaounde (NSI),Camair-Co MA6,Unknown,2021-04-14
1,1,10:05 AM,KP39,N'Djamena (NDJ),Asky Airlines B737 (ET-AVO),Unknown,2021-04-14
2,2,10:20 AM ET8,,N'Djamena (NDJ),Ethiopian Airlines DH8,Unknown,2021-04-14
3,3,10:40 AM C2482,,Malabo (SSG),Ceiba Intercontinental 737,Unknown,2021-04-14
4,4,10:40 AM WB212,,Kigali (KGL),RwandAir 738,Unknown,2021-04-14
5,5,11:25 AM,KQ576,Bangui (BGF),Kenya Airways E90,Unknown,2021-04-14
6,6,11:30 AM ET913,,Addis Ababa (ADD),Ethiopian Airlines B789 (ET-AXS),Unknown,2021-04-14
7,7,12:45 PM J7831,,Sao Tome (TMS),Afrijet AT75 (HB-ABS),Unknown,2021-04-14
