,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,07:50,WM315,Sint Maarten (SXM),Winair DHC6 (PJ-WII),Landed 07:51,2021-05-09
1,1,09:15 JY631,,Beef Island (EIS),InterCaribbean Airways EM2,Canceled,2021-05-09
2,2,09:20 5M802,,Montserrat (MNI),FlyMontserrat BNI,Unknown,2021-05-09
3,3,11:35 LI311,,Beef Island (EIS),LIAT AT46 (V2-LID),Landed 11:02,2021-05-09
4,4,11:48,,Teterboro (TEB),- FA50 (N77ME),Landed 11:55,2021-05-09
5,5,11:50 5M804,,Montserrat (MNI),FlyMontserrat BNI,Unknown,2021-05-09
6,6,12:01 AA978,,New York (JFK),American Airlines A319 (N9019F),Landed 12:16,2021-05-09
7,7,12:50 BW459,,Kingston (KIN),Caribbean Airlines B738 (9Y-TAB),Landed 12:34,2021-05-09
8,8,12:56 B6743,,New York (JFK),JetBlue Airways A320 (N571JB),Landed 15:08,2021-05-09
9,9,13:00 7U8555,,San Juan (SJU),- CVF,Unknown,2021-05-09
10,10,13:55,AA2405,Miami (MIA),American Airlines A321 (N130AN),Landed 14:12,2021-05-09
11,11,16:23 TJ701,,St. Jean (SBH),Tradewind Aviation PL2,Unknown,2021-05-09
12,12,16:50 5M808,,Montserrat (MNI),FlyMontserrat BNI,Unknown,2021-05-09
13,13,17:25 BW458,,Bridgetown (BGI),Caribbean Airlines B738 (9Y-TAB),Landed 17:15,2021-05-09
14,14,17:30 JY633,,Beef Island (EIS),InterCaribbean Airways EM2,Canceled,2021-05-09
15,15,17:55,WM317,Sint Maarten (SXM),Winair DHC6 (PJ-WIQ),Landed 17:27,2021-05-09
16,16,19:25 LI312,,Basseterre (SKB),LIAT AT46 (V2-LIF),Landed 19:09,2021-05-09
17,17,21:18 EJM82,,St. Louis (SUS),Private owner C680 (N19MK),Unknown,2021-05-09
0,0,09:00,WM315,Sint Maarten (SXM),Winair DHC6 (PJ-WIQ),Landed 08:52,2021-05-10
1,1,09:20 5M802,,Montserrat (MNI),FlyMontserrat BNI,Unknown,2021-05-10
2,2,09:58,,St. Thomas (STT),- C25B (N5KJ),Landed 09:47,2021-05-10
3,3,11:40 WM316,,Dominica (DOM),Winair DHC6 (PJ-WIQ),Landed 11:12,2021-05-10
4,4,11:50 5M804,,Montserrat (MNI),FlyMontserrat BNI,Unknown,2021-05-10
5,5,12:01 AA978,,New York (JFK),American Airlines A319 (N9002U),Landed 12:08,2021-05-10
