,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,12:10 AM,MN122,Cape Town (CPT),Comair 738,Unknown,2020-10-03
1,1,1:00 AM 8V20,,Nairobi (NBO),Astral Aviation 72Y,Unknown,2020-10-03
2,2,1:00 AM SA6061,,Lagos (LOS),South African Airways 346,Canceled,2020-10-03
3,3,1:05 AM,KQ764,Nairobi (NBO),Kenya Airways 738,Unknown,2020-10-03
4,4,2:25 AM,WB102,Kigali (KGL),RwandAir 738,Unknown,2020-10-03
5,5,4:35 AM,QR1365,Doha (DOH),Qatar Airways 359,Unknown,2020-10-03
6,6,5:10 AM SA61,,Lagos (LOS),South African Airways 333,Unknown,2020-10-03
7,7,5:15 AM SA59,,Kinshasa (FIH),South African Airways 320,Unknown,2020-10-03
8,8,7:05 AM,SA235,London (LHR),South African Airways 333,Unknown,2020-10-03
9,9,7:25 AM,SA261,Frankfurt (FRA),South African Airways 359,Unknown,2020-10-03
10,10,8:00 AM,SA204,New York (JFK),South African Airways 359,Unknown,2020-10-03
11,11,8:10 AM FA413,,Durban (DUR),FlySafair B734 (ZS-WMP),Unknown,2020-10-03
12,12,8:15 AM,MN636,Durban (DUR),Comair 738,Unknown,2020-10-03
13,13,8:45 AM UM467,,Harare (HRE),Air Zimbabwe ER4,Unknown,2020-10-03
14,14,8:55 AM 4Z892,,Cape Town (CPT),Airlink E190 (ZS-YAY),Landed 8:45 AM,2020-10-03
15,15,8:55 AM,JE138,Cape Town (CPT),Mango B738 (ZS-SJN),Landed 9:13 AM,2020-10-03
16,16,8:55 AM MN632,,Durban (DUR),Comair 738,Unknown,2020-10-03
17,17,9:00 AM FA261,,Durban (DUR),FlySafair B738 (ZS-FGB),Landed 8:58 AM,2020-10-03
18,18,9:15 AM,BA57,London (LHR),British Airways B772 (G-YMMN),Landed 11:26 AM,2020-10-03
19,19,9:50 AM,QR1363,Doha (DOH),Qatar Airways A359 (A7-ALT),Landed 9:30 AM,2020-10-03
20,20,10:00 AM,AF990,Paris (CDG),Air France B77W (F-GZND),Landed 9:55 AM,2020-10-03
21,21,10:00 AM 4Z754,,Mthatha (UTT),Airlink ER3,Unknown,2020-10-03
22,22,10:10 AM FA104,,Cape Town (CPT),FlySafair B738 (ZS-SJT),Landed 9:45 AM,2020-10-03
23,23,10:10 AM,MN118,Cape Town (CPT),Comair 738,Unknown,2020-10-03
24,24,10:15 AM,TK42,Istanbul (IST),Turkish Airlines 333,Canceled,2020-10-03
25,25,10:40 AM FA287,,Durban (DUR),FlySafair B734 (ZS-JRK),Landed 10:28 AM,2020-10-03
26,26,10:45 AM P040,,Ndola (NLA),Proflight Air Services CR1,Unknown,2020-10-03
27,27,10:50 AM FA807,,Cape Town (CPT),FlySafair B738 (ZS-SJW),Landed 10:31 AM,2020-10-03
28,28,10:50 AM ZF714,,Lubumbashi (FBM),Azur Air 74Y,Unknown,2020-10-03
29,29,10:55 AM,KQ760,Nairobi (NBO),Kenya Airways E190 (5Y-FFJ),Landed 10:48 AM,2020-10-03
30,30,10:55 AM QR8798,,Doha (DOH),Qatar Airways B77W (A7-BAQ),Landed 10:35 AM,2020-10-03
31,31,11:00 AM FA810,,Cape Town (CPT),FlySafair B738 (ZS-FGC),Landed 10:27 AM,2020-10-03
32,32,11:00 AM,MN904,George (GRJ),Comair 738,Unknown,2020-10-03
33,33,11:05 AM,JE248,Durban (DUR),Mango B738 (ZS-SJC),Unknown,2020-10-03
34,34,11:20 AM FA602,,Cape Town (CPT),FlySafair B738 (ZS-FGA),Landed 10:51 AM,2020-10-03
35,35,11:35 AM ET20,,Blantyre (BLZ),Ethiopian Airlines 73W,Unknown,2020-10-03
36,36,11:35 AM 3W20,,Blantyre (BLZ),Malawian Airlines 73W,Unknown,2020-10-03
37,37,12:05 PM FA417,,Durban (DUR),FlySafair B734 (ZS-WMP),Landed 11:57 AM,2020-10-03
38,38,12:15 PM EY956,,Abu Dhabi (AUH),Etihad Cargo B77L (A6-DDB),Landed 12:12 PM,2020-10-03
39,39,12:15 PM FA372,,Port Elizabeth (PLZ),FlySafair B738 (ZS-SJV),Landed 11:48 AM,2020-10-03
40,40,12:20 PM 4Z810,,Polokwane (PTG),Airlink ER3,Unknown,2020-10-03
41,41,12:30 PM FN8333,,Harare (HRE),Fastjet Zimbabwe E145 (Z-FJF),Unknown,2020-10-03
