,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,11:30 TX407,,Pointe-a-Pitre (PTP),Air Caraibes AT7,Unknown,2021-05-09
1,1,14:30 TX303,,Pointe-a-Pitre (PTP),Air Caraibes AT7,Unknown,2021-05-09
2,2,17:25 TX307,,Pointe-a-Pitre (PTP),Air Caraibes AT76 (F-OSIT),Landed 17:26,2021-05-09
3,3,18:30,3S219,Pointe-a-Pitre (PTP),Air Antilles AT76 (F-OMYN),Landed 18:21,2021-05-09
4,4,19:50 TX311,,Pointe-a-Pitre (PTP),Air Caraibes AT7,Unknown,2021-05-09
0,0,07:30 TX401,,Pointe-a-Pitre (PTP),Air Caraibes AT76 (F-OSIV),Landed 07:21,2021-05-10
1,1,08:00,3S101,Pointe-a-Pitre (PTP),Air Antilles AT46 (F-OIXO),Landed 07:58,2021-05-10
2,2,09:35,AF604,Pointe-a-Pitre (PTP),Air France A320 (F-HEPB),Landed 09:31,2021-05-10
3,3,11:30 TX301,,Pointe-a-Pitre (PTP),Air Caraibes AT7,Unknown,2021-05-10
4,4,12:56 A88116,,Aguadilla (BQN),Ameriflight BE99 (N228BH),Landed 13:13,2021-05-10
5,5,14:25,AF842,Paris (ORY),Air France B77W (F-GSQT),Landed 14:41,2021-05-10
6,6,14:30 TX411,,Pointe-a-Pitre (PTP),Air Caraibes AT7,Unknown,2021-05-10
7,7,15:35,AF605,Cayenne (CAY),Air France A320 (F-HEPB),Landed 16:09,2021-05-10
8,8,17:25 TX307,,Pointe-a-Pitre (PTP),Air Caraibes AT76 (F-OSIV),Landed 18:38,2021-05-10
9,9,18:30,3S219,Pointe-a-Pitre (PTP),Air Antilles AT46 (F-OIXO),Landed 18:34,2021-05-10
10,10,18:35 TX311,,Pointe-a-Pitre (PTP),Air Caraibes AT7,Unknown,2021-05-10
11,11,19:05 SS866,,Pointe-a-Pitre (PTP),Corsair A333 (F-HZEN),Landed 19:19,2021-05-10
0,0,07:30 TX401,,Pointe-a-Pitre (PTP),Air Caraibes AT76 (F-OSIV),Landed 07:25,2021-05-11
1,1,08:00,3S101,Pointe-a-Pitre (PTP),Air Antilles AT46 (F-OIXO),Landed 07:58,2021-05-11
2,2,11:30 TX301,,Pointe-a-Pitre (PTP),Air Caraibes AT7,Unknown,2021-05-11
3,3,14:30 TX411,,Pointe-a-Pitre (PTP),Air Caraibes AT7,Unknown,2021-05-11
4,4,15:04 A88116,,Aguadilla (BQN),Ameriflight BE99 (N228BH),Landed 15:05,2021-05-11
5,5,15:05 TX510,,Paris (ORY),Air Caraibes A359 (F-HTRE),Landed 15:10,2021-05-11
6,6,17:25 TX307,,Pointe-a-Pitre (PTP),Air Caraibes AT76 (F-OSIT),Landed 17:44,2021-05-11
7,7,18:30,3S219,Pointe-a-Pitre (PTP),Air Antilles AT46 (F-OIXO),Landed 18:38,2021-05-11
8,8,19:50 TX311,,Pointe-a-Pitre (PTP),Air Caraibes AT7,Unknown,2021-05-11
0,0,07:30 TX401,,Pointe-a-Pitre (PTP),Air Caraibes AT76 (F-OSIT),Landed 07:20,2021-05-12
1,1,08:00,3S101,Pointe-a-Pitre (PTP),Air Antilles AT76 (F-OMYN),Landed 07:53,2021-05-12
2,2,11:30 TX301,,Pointe-a-Pitre (PTP),Air Caraibes AT7,Unknown,2021-05-12
