,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,20:40,BP208,Johannesburg (JNB),Air Botswana AT76 (A2-ABK),Landed 20:03,2021-04-10
0,0,17:20 4Z178,,Johannesburg (JNB),Airlink ERD,Unknown,2021-04-11
1,1,19:45,BP232,Cape Town (CPT),Air Botswana E70,Unknown,2021-04-11
2,2,20:40,BP208,Johannesburg (JNB),Air Botswana AT76 (A2-ABK),Landed 18:47,2021-04-11
3,3,20:45 BP23,,Francistown (FRW),Air Botswana AT7,Unknown,2021-04-11
0,0,17:20 4Z178,,Johannesburg (JNB),Airlink ERD,Unknown,2021-04-12
1,1,20:40,BP208,Johannesburg (JNB),Air Botswana AT76 (A2-ABK),Landed 20:05,2021-04-12
0,0,17:20 4Z178,,Johannesburg (JNB),Airlink ER3,Unknown,2021-04-13
1,1,20:40,BP208,Johannesburg (JNB),Air Botswana AT76 (A2-ABL),Landed 19:50,2021-04-13
0,0,7:15 AM 4Z172,,Johannesburg (JNB),Airlink ER3,Unknown,2021-04-14
1,1,10:30 AM 4Z174,,Johannesburg (JNB),Airlink J41,Unknown,2021-04-14
2,2,11:15 AM BP31,,Maun (MUB),Air Botswana AT76 (A2-ABL),Landed 11:39 AM,2021-04-14
3,3,1:10 PM,BP204,Johannesburg (JNB),Air Botswana AT76 (A2-ABK),Landed 12:52 PM,2021-04-14
4,4,5:20 PM 4Z178,,Johannesburg (JNB),Airlink E170 (ZS-YBA),Landed 4:54 PM,2021-04-14
5,5,8:40 PM,BP208,Johannesburg (JNB),Air Botswana AT76 (A2-ABL),Landed 7:55 PM,2021-04-14
0,0,17:20 4Z178,,Johannesburg (JNB),Airlink E170 (ZS-YBA),Landed 16:54,2021-04-14
1,1,20:40,BP208,Johannesburg (JNB),Air Botswana AT76 (A2-ABL),Landed 19:55,2021-04-14
0,0,17:25 4Z178,,Johannesburg (JNB),Airlink ERD,Unknown,2021-04-15
1,1,20:40,BP208,Johannesburg (JNB),Air Botswana AT76 (A2-ABK),Landed 20:04,2021-04-15
0,0,5:25 PM 4Z178,,Johannesburg (JNB),Airlink ERD,Unknown,2021-04-16
1,1,8:40 PM,BP208,Johannesburg (JNB),Air Botswana AT76 (A2-ABK),Landed 8:04 PM,2021-04-16
