,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,04:50 2Q380,,San Juan (SJU),Air Cargo Carriers SH36 (N733CH),Landed 04:48,2021-05-09
1,1,05:32 2Q382,,San Juan (SJU),Air Cargo Carriers SH36,Canceled,2021-05-09
2,2,06:02 2Q384,,San Juan (SJU),Air Cargo Carriers SH36,Canceled,2021-05-09
3,3,06:27 2Q382,,San Juan (SJU),Air Cargo Carriers SH36 (N167RC),Landed 06:30,2021-05-09
4,4,08:00,9K8011,San Juan (SJU),Cape Air CNA,Unknown,2021-05-09
5,5,08:30 BB3904,,San Juan (SJU),Seaborne SF3,Canceled,2021-05-09
6,6,08:30,3M3904,San Juan (SJU),Silver Airways SF3,Unknown,2021-05-09
7,7,08:39,9K8731,St. Croix (STX),Private owner C402 (N677CA),Unknown,2021-05-09
8,8,10:05,9K8051,San Juan (SJU),Cape Air CNA,Unknown,2021-05-09
9,9,10:42 NK580,,Fort Lauderdale (FLL),Spirit Airlines A319 (N522NK),Landed 10:23,2021-05-09
10,10,10:49,9K8551,St. Croix (STX),Private owner C402 (N677CA),Unknown,2021-05-09
11,11,11:44,UA2077,New York (EWR),United Airlines B737 (N54711),Landed 11:26,2021-05-09
12,12,11:52,DL1271,Atlanta (ATL),Delta Air Lines B752 (N556NW),Landed 11:28,2021-05-09
13,13,12:25 V68432,,Beef Island (EIS),VI Airlink BE1,Unknown,2021-05-09
14,14,12:30 YI1905,,The Valley (AXA),Air Sunshine CNA,Unknown,2021-05-09
15,15,12:34,9K8591,St. Croix (STX),Private owner C402 (N677CA),Unknown,2021-05-09
16,16,12:35,9K8031,San Juan (SJU),Cape Air C402 (N26632),Unknown,2021-05-09
17,17,12:37,AA1398,New York (JFK),American Airlines A319 (N90024),Landed 12:21,2021-05-09
18,18,12:42 2Q386,,San Juan (SJU),Air Cargo Carriers SH36 (N733CH),Landed 12:40,2021-05-09
19,19,12:43,DL635,New York (JFK),Delta Air Lines B752 (N550NW),Landed 12:13,2021-05-09
20,20,12:45 YI1505,,Nevis (NEV),Air Sunshine CNA,Unknown,2021-05-09
21,21,12:45 YI1525,,Basseterre (SKB),Air Sunshine CNA,Unknown,2021-05-09
22,22,12:45 YI1609,,Beef Island (EIS),Air Sunshine CNA,Unknown,2021-05-09
23,23,12:45 YI1629,,Virgin Gorda (VIJ),Air Sunshine CNA,Unknown,2021-05-09
24,24,12:46 B61036,,San Juan (SJU),JetBlue Airways E190 (N273JB),Landed 12:38,2021-05-09
25,25,12:51 NK284,,Orlando (MCO),Spirit Airlines A20N (N936NK),Landed 13:14,2021-05-09
26,26,12:54 AA2528,,Philadelphia (PHL),American Airlines A319 (N9015D),Landed 12:36,2021-05-09
27,27,13:10,UA1529,New York (EWR),United Airlines B737 (N13716),Landed 13:10,2021-05-09
28,28,13:25 AA1195,,Charlotte (CLT),American Airlines A319 (N9026C),Landed 12:53,2021-05-09
29,29,13:32,AA943,Miami (MIA),American Airlines B38M (N321RL),Landed 14:07,2021-05-09
30,30,13:55,DL1950,Atlanta (ATL),Delta Air Lines B752 (N6711M),Landed 13:37,2021-05-09
31,31,14:01,9K8861,Beef Island (EIS),Cape Air C402 (N7037E),Unknown,2021-05-09
32,32,14:19,9K8791,St. Croix (STX),Private owner C402 (N677CA),Unknown,2021-05-09
33,33,14:21 BIA942,,Wilmington (ILG),- F900 (N942SS),Landed 15:32,2021-05-09
34,34,14:25 UA1443,,Washington (IAD),United Airlines B737 (N14704),Landed 14:26,2021-05-09
35,35,14:40 AA1237,,Dallas (DFW),American Airlines A319 (N9018E),Landed 14:01,2021-05-09
36,36,14:41 AA1546,,Miami (MIA),American Airlines B738 (N889NN),Landed 14:31,2021-05-09
37,37,14:45,9K8151,San Juan (SJU),Cape Air C402 (N106CA),Unknown,2021-05-09
38,38,14:49 UA2176,,Chicago (ORD),United Airlines B737 (N27733),Landed 14:28,2021-05-09
39,39,14:53 AA796,,Charlotte (CLT),American Airlines A319 (N8031M),Landed 14:24,2021-05-09
40,40,15:02,DL1925,Atlanta (ATL),Delta Air Lines B752 (N699DL),Landed 14:39,2021-05-09
41,41,15:05,9K8191,San Juan (SJU),Cape Air C402 (N769EA),Unknown,2021-05-09
42,42,15:22 UA2148,,Houston (IAH),United Airlines B737 (N23707),Landed 14:45,2021-05-09
43,43,15:44 AA1391,,Miami (MIA),American Airlines B38M (N336RU),Landed 15:26,2021-05-09
44,44,16:27 NK201,,Fort Lauderdale (FLL),Spirit Airlines A320 (N601NK),Landed 16:10,2021-05-09
45,45,16:30 YI214,,San Juan (SJU),Air Sunshine CNA,Unknown,2021-05-09
46,46,16:49 9K8611,,St. Croix (STX),Cape Air C402 (N769EA),Unknown,2021-05-09
47,47,17:22,DL1981,Atlanta (ATL),Delta Air Lines B752 (N6715C),Landed 17:17,2021-05-09
48,48,17:30 BB3950,,San Juan (SJU),Seaborne Airlines SF34 (N353SA),Landed 17:13,2021-05-09
49,49,17:45,9K8251,San Juan (SJU),Cape Air C402 (N106CA),Unknown,2021-05-09
50,50,18:19,9K8831,St. Croix (STX),Cape Air C402 (N68391),Unknown,2021-05-09
51,51,20:15,9K8331,San Juan (SJU),Cape Air C402 (N106CA),Unknown,2021-05-09
52,52,20:53 AA1517,,Miami (MIA),American Airlines B738 (N803NN),Landed 20:41,2021-05-09
0,0,05:05 2Q380,,San Juan (SJU),Air Cargo Carriers SH36 (N4498Y),Landed 05:06,2021-05-10
1,1,06:02 2Q384,,San Juan (SJU),Air Cargo Carriers SH36,Canceled,2021-05-10
2,2,06:22 2Q382,,San Juan (SJU),Air Cargo Carriers SH36 (N376AC),Landed 06:21,2021-05-10
3,3,06:39,9K8531,St. Croix (STX),Cape Air C402 (N68391),Unknown,2021-05-10
4,4,07:14 2Q1102,,San Juan (SJU),Air Cargo Carriers SH36 (N360AB),Landed 07:12,2021-05-10
5,5,07:39,9K8511,St. Croix (STX),Cape Air C402 (N106CA),Unknown,2021-05-10
6,6,08:00,9K8011,San Juan (SJU),Cape Air C402 (N26632),Unknown,2021-05-10
7,7,08:30 BB3904,,San Juan (SJU),Seaborne Airlines SF34 (N353SA),Landed 08:38,2021-05-10
